Age,Beijin,Tianjin,Hebei,Shanxi1,Neimenggu,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guagnxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi,Gansu,Qinghai,Ningxia,Xinjiang,Gender,Hukou
47,35469.42476,28726.7478,410221.2641,193662.8009,127971.412,200689.5432,147716.5319,179890.7993,27691.20071,326837.7725,252317.118,299799.922,154523.7692,214004.4579,530817.3082,519188.7083,324084.9217,367175.0434,295781.6894,254819.4749,42868.03429,109675.0251,467548.2215,191364.4545,286903.3579,16005.78774,221751.6931,184637.272,27420.04748,29728.72354,96512.47263,M,R
48,27288.01797,22100.61244,315599.2887,148992.3794,98453.4205,154398.3275,113644.1147,138397.0391,21303.9255,251449.1022,194117.4433,230647.8246,118881.189,164642.0131,408378.5498,399432.2124,249331.2262,282482.1448,227556.4408,196042.6045,32980.05812,84377.29328,359703.1629,147224.1715,220725.9926,12313.87953,170602.2645,142048.6865,21095.3167,22871.47163,74250.82604,M,R
49,14586.21044,11813.3968,168696.6656,79640.60283,52626.11275,82530.2336,60745.96459,73977.09644,11387.54529,134406.5928,103761.2142,123287.7269,63545.32758,88005.77062,218289.7811,213507.7129,133274.5287,150994.6239,121635.2956,104790.2669,17628.76544,45102.02822,192271.4224,78695.44613,117984.2296,6582.113748,91191.69209,75929.00432,11276.03804,12225.44264,39689.14765,M,R
50,19171.78141,16294.6482,242920.5403,112699.9544,77131.07499,123742.3405,81034.41417,103546.0606,15365.76959,181747.7365,137245.2303,110119.9258,88839.38503,121648.9486,289022.9715,258393.8822,165193.5487,179485.3024,159321.4649,126407.744,19236.66632,58340.06551,234813.3424,92182.66504,123402.5485,6807.792349,131670.2512,76289.27874,10509.64683,13338.97011,45947.04899,M,R
51,18076.9429,15364.11348,229048.1329,106264.0241,72726.36843,116675.8151,76406.80052,97632.87954,14488.28012,171368.7103,129407.5986,103831.3325,83766.0547,114701.9701,272517.8032,243637.8422,155759.8787,169235.4765,150223.1307,119189.0061,18138.12244,55008.45281,221403.9108,86918.4108,116355.4275,6419.021317,124150.9884,71932.64445,9909.474845,12577.22461,43323.16143,M,R
52,23888.69367,20303.68754,302687.2802,140427.9879,96107.95069,154187.1776,100971.6445,129021.9239,19146.2731,226463.8798,171012.239,137213.1842,110696.9044,151578.7399,360132.4823,321967.5921,205836.7971,223644.8097,198519.9804,157508.3613,23969.54247,72693.71184,292585.435,114862.7454,153763.7852,8482.741508,164065.6248,95059.04385,13095.37848,16620.8118,57251.59048,M,R
53,27258.7235,23167.97278,345388.0313,160238.4687,109666.1078,175938.6972,115215.9334,147223.3265,21847.27937,258411.6306,195137.3065,156570.1457,126313.1568,172962.2815,410937.1527,367388.2587,234874.6405,255194.8681,226525.6246,179728.4075,27350.97782,82948.77144,333861.097,131066.682,175455.5759,9679.420252,187210.7183,108469.2294,14942.77192,18965.54578,65328.19653,M,R
54,24962.7685,21216.57462,316296.5966,146741.8605,100429.1217,161119.6859,105511.4952,134822.9611,20007.12093,236646.0672,178701.2297,143382.5139,115674.0187,158393.9686,376324.6291,336443.7829,215091.557,233700.247,207445.7642,164590.1955,25047.2524,75962.14031,305740.5559,120027.1627,160677.2571,8864.139474,171442.2842,99333.05432,13684.16816,17368.11075,59825.71585,M,R
55,21643.5847,21739.40931,309375.0692,132499.8791,86465.73758,154258.4533,98330.95343,121186.1871,19795.23449,274622.6782,177639.6575,228015.7185,108124.2283,145227.5164,406547.6096,403057.4644,217181.1495,261882.2642,188212.3059,165923.5022,22273.89767,123192.1155,441400.0841,143836.9949,153055.3221,6980.290304,153824.0484,105713.7071,13794.48462,17810.6004,50635.85208,M,R
56,21736.77788,21833.01509,310707.1797,133070.3985,86838.04269,154922.661,98754.34792,121707.9919,19880.46903,275805.1515,178404.5403,228997.511,108589.7908,145852.8386,408298.1267,404792.9536,218116.2904,263009.8797,189022.7125,166637.9374,22369.80486,123722.5575,443300.6693,144456.3297,153714.3494,7010.346113,154486.3857,106168.8903,13853.88106,17887.28947,50853.88048,M,R
