Age,Beijin,Tianjin,Hebei,Shanxi1,Neimenggu,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guagnxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi,Gansu,Qinghai,Ningxia,Xinjiang,Gender,Hukou
18,0.00047991,0.00079359,0.001058633,0.001058633,0.001058633,0.000941428,0.000722152,0.000772932,0.001058633,0.000633689,0.000779925,0.000824376,0.001077931,0.00071278,0.000725209,0.000634584,0.000801232,0.000814362,0.000693383,0.000985515,0.000949251,0.001210234,0.000995807,0.001589137,0.001458923,0.001058633,0.001058633,0.000742809,0.001058633,0.001058633,0.001140304,M,R
19,0.000594603,0.000983248,0.001311634,0.001311634,0.001311634,0.001166418,0.000894737,0.000957654,0.001311634,0.000785133,0.000966318,0.001021391,0.001335543,0.000883126,0.000898525,0.000786242,0.000992716,0.001008984,0.000859093,0.001221041,0.00117611,0.001499465,0.001233792,0.001968921,0.001807588,0.001311634,0.001311634,0.000920332,0.001311634,0.001311634,0.001412822,M,R
20,0.000534823,0.000851181,0.000996139,0.000996139,0.000996139,0.000986858,0.000768068,0.000826769,0.000996139,0.000753766,0.000677756,0.00122269,0.001239951,0.000781194,0.000874205,0.000752173,0.001021244,0.000836799,0.000858826,0.001461306,0.000962232,0.002062017,0.001365311,0.002536546,0.001746985,0.000996139,0.000996139,0.001147171,0.000996139,0.000996139,0.001398902,M,R
21,0.000532259,0.0008471,0.000991363,0.000991363,0.000991363,0.000982125,0.000764385,0.000822805,0.000991363,0.000750151,0.000674506,0.001216827,0.001234005,0.000777448,0.000870013,0.000748566,0.001016347,0.000832787,0.000854708,0.001454298,0.000957618,0.002052129,0.001358764,0.002524383,0.001738608,0.000991363,0.000991363,0.00114167,0.000991363,0.000991363,0.001392194,M,R
22,0.000594437,0.000946057,0.001107172,0.001107172,0.001107172,0.001096856,0.00085368,0.000918924,0.001107172,0.000837783,0.000753301,0.001358975,0.00137816,0.000868269,0.000971646,0.000836013,0.001135075,0.000930072,0.000954553,0.001624187,0.001069486,0.002291856,0.001517493,0.002819278,0.001941709,0.001107172,0.001107172,0.001275039,0.001107172,0.001107172,0.001554828,M,R
23,0.000549687,0.000874838,0.001023825,0.001023825,0.001023825,0.001014285,0.000789415,0.000849747,0.001023825,0.000774715,0.000696592,0.001256671,0.001274412,0.000802905,0.000898501,0.000773078,0.001049627,0.000860056,0.000882695,0.001501919,0.000988975,0.002119325,0.001403256,0.002607043,0.001795538,0.001023825,0.001023825,0.001179054,0.001023825,0.001023825,0.00143778,M,R
24,0.000585289,0.000931498,0.001090134,0.001090134,0.001090134,0.001079977,0.000840543,0.000904783,0.001090134,0.00082489,0.000741708,0.001338062,0.001356952,0.000854907,0.000956694,0.000823147,0.001117608,0.000915759,0.000939864,0.001599193,0.001053028,0.002256587,0.00149414,0.002775892,0.001911829,0.001090134,0.001090134,0.001255417,0.001090134,0.001090134,0.001530901,M,R
25,0.000507736,0.001064208,0.001104419,0.001104419,0.001104419,0.001122573,0.000980061,0.000918185,0.001104419,0.000920251,0.000791173,0.001428331,0.001416634,0.001063594,0.001014377,0.001051754,0.001172956,0.001022503,0.001133997,0.001679346,0.001183921,0.002356044,0.001733053,0.002926603,0.001998593,0.001104419,0.001104419,0.001380663,0.001104419,0.001104419,0.001542815,M,R
26,0.000485237,0.001017048,0.001055478,0.001055478,0.001055478,0.001072827,0.000936631,0.000877497,0.001055478,0.000879471,0.000756112,0.001365036,0.001353858,0.001016462,0.000969425,0.001005146,0.001120977,0.000977192,0.001083745,0.001604928,0.001131457,0.002251639,0.001656254,0.002796914,0.001910027,0.001055478,0.001055478,0.00131948,0.001055478,0.001055478,0.001474447,M,R
27,0.000548972,0.001150637,0.001194114,0.001194114,0.001194114,0.001213742,0.001059657,0.000992755,0.001194114,0.000994989,0.000855427,0.001544333,0.001531686,0.001149974,0.001096759,0.001137171,0.001268217,0.001105546,0.001226095,0.001815734,0.001280073,0.00254739,0.001873802,0.003164287,0.002160908,0.001194114,0.001194114,0.001492794,0.001194114,0.001194114,0.001668114,M,R
28,0.000541154,0.001134252,0.00117711,0.00117711,0.00117711,0.001196458,0.001044567,0.000978618,0.00117711,0.00098082,0.000843246,0.001522341,0.001509874,0.001133598,0.001081141,0.001120978,0.001250157,0.001089802,0.001208635,0.001789877,0.001261844,0.002511114,0.001847119,0.003119226,0.002130136,0.00117711,0.00117711,0.001471535,0.00117711,0.00117711,0.00164436,M,R
29,0.000569527,0.00119372,0.001238825,0.001238825,0.001238825,0.001259188,0.001099333,0.001029927,0.001238825,0.001032244,0.000887457,0.001602156,0.001589036,0.001193032,0.001137824,0.00117975,0.001315702,0.00114694,0.001272003,0.00188372,0.001328002,0.002642771,0.001943962,0.003282766,0.002241818,0.001238825,0.001238825,0.001548688,0.001238825,0.001238825,0.001730573,M,R
30,0.0007516,0.000787652,0.00125614,0.00125614,0.00125614,0.001341848,0.001141038,0.001183108,0.00125614,0.001221162,0.001074179,0.001822462,0.001638364,0.001406917,0.001189677,0.001397849,0.001451677,0.001366713,0.001484279,0.00235526,0.001371685,0.003284433,0.002276014,0.003361607,0.002425634,0.00125614,0.00125614,0.001657298,0.00125614,0.00125614,0.001839865,M,R
31,0.000770971,0.000807952,0.001288514,0.001288514,0.001288514,0.001376431,0.001170445,0.0012136,0.001288514,0.001252634,0.001101864,0.001869432,0.001680589,0.001443177,0.001220339,0.001433876,0.001489091,0.001401937,0.001522533,0.002415961,0.001407037,0.003369081,0.002334673,0.003448244,0.002488149,0.001288514,0.001288514,0.001700011,0.001288514,0.001288514,0.001887284,M,R
32,0.000777102,0.000814377,0.00129876,0.00129876,0.00129876,0.001387376,0.001179752,0.00122325,0.00129876,0.001262595,0.001110626,0.001884297,0.001693952,0.001454653,0.001230042,0.001445278,0.001500932,0.001413084,0.00153464,0.002435172,0.001418226,0.003395871,0.002353238,0.003475664,0.002507934,0.00129876,0.00129876,0.001713529,0.00129876,0.00129876,0.001902291,M,R
